country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Hungary,,,,,,,,,,,,,,,,0.655,0.655,0.655,0.655,0.694,0.694,0.694,0.694,0.59,0.59,0.59,0.59,0.715,0.715,0.715,0.715,0.685,0.685,0.685,0.685,0.637,0.637,0.637,0.637,0.634,0.634,0.634,0.634,0.716
India,0.572,0.572,0.647,0.647,0.647,0.624,0.624,0.624,0.624,0.646,0.646,0.646,0.646,0.646,0.652,0.652,0.572,0.572,0.572,0.572,0.572,0.611,0.611,0.675,0.657,0.657,0.657,0.657,0.657,0.609,0.609,0.609,0.609,0.609,0.565,0.565,0.565,0.565,0.565,0.703,0.703,0.703,0.703,0.703
Indonesia,0.859,0.859,0.867,0.867,0.867,0.867,0.867,0.89,0.89,0.89,0.89,0.89,0.875,0.875,0.875,0.875,0.875,0.876,0.876,0.876,0.876,0.876,0.928,0.928,0.857,0.857,0.857,0.857,0.857,0.876,0.876,0.876,0.876,0.876,0.74,0.74,0.74,0.74,0.74,0.829,0.829,0.829,0.829,0.829
Iran,,,,,,,,,,,,,,,,,,0.247,0.532,0.532,0.532,0.731,0.731,0.731,0.731,0.731,0.864,0.864,0.864,0.864,0.676,0.676,0.676,0.121,0.755,0.755,0.755,0.618,0.623,0.623,0.623,0.553,0.684,0.684
Iraq,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0.892,0.892,0.892,0.892,0.892,0.701,0.701,0.701,0.701,0.768,0.768,0.768,0.768,0.474
Ireland,0.778,0.778,0.852,0.852,0.852,0.852,0.788,0.763,0.763,0.763,0.763,0.763,0.779,0.779,0.712,0.712,0.712,0.737,0.737,0.737,0.737,0.737,0.674,0.674,0.674,0.674,0.674,0.67,0.67,0.67,0.67,0.67,0.689,0.689,0.689,0.689,0.638,0.638,0.638,0.638,0.638,0.58,0.58,0.393
Israel,0.818,0.818,0.804,0.804,0.804,0.804,0.798,0.798,0.798,0.804,0.804,0.804,0.804,0.824,0.824,0.824,0.824,0.817,0.817,0.817,0.817,0.847,0.847,0.847,0.845,0.845,0.696,0.696,0.761,0.761,0.761,0.712,0.712,0.712,0.702,0.702,0.702,0.702,0.732,0.732,0.761,0.761,0.761,0.761
Italy,0.947,0.954,0.954,0.954,0.928,0.928,0.928,0.928,0.918,0.918,0.918,0.918,0.944,0.944,0.944,0.944,0.944,0.923,0.923,0.908,0.908,0.873,0.873,0.873,0.873,0.873,0.849,0.849,0.849,0.849,0.849,0.821,0.821,0.791,0.791,0.791,0.791,0.791,0.683,0.683,0.683,0.683,0.683,0.652
Jamaica,0.573,0.848,0.848,0.848,0.848,0.747,0.747,0.747,0.0214,0.0214,0.0214,0.0214,0.0214,0.0214,0.59,0.59,0.59,0.59,0.447,0.447,0.447,0.447,0.488,0.488,0.488,0.488,0.488,0.509,0.509,0.509,0.509,0.509,0.496,0.496,0.496,0.496,0.462,0.462,0.462,0.462,0.462,0.442,0.442,0.442
Japan,0.739,0.735,0.735,0.735,0.682,0.747,0.747,0.747,0.676,0.676,0.676,0.715,0.715,0.715,0.715,0.75,0.75,0.75,0.663,0.663,0.663,0.603,0.603,0.603,0.603,0.59,0.59,0.59,0.591,0.591,0.666,0.666,0.666,0.666,0.693,0.693,0.693,0.597,0.597,0.52,0.52,0.52,0.52,0.52
